date,description,amount,currency
2025-01-06,Bonifico Enel Energia bolletta gennaio,85.50,EUR
2025-01-07,Esselunga supermercato,45.20,EUR
2025-01-08,Distributore IP carburante,60.00,EUR
2025-01-09,Ristorante La Vigna,35.00,EUR
2025-01-10,Netflix abbonamento mensile,12.99,EUR
2025-01-10,Penicillina,9.50,EUR
2025-01-11,Comune di Lipari imposta di soggiorno,-180.00,EUR
2025-01-12,Trenitalia biglietto Venezia,29.90,EUR
2025-01-13,Cinema UCI multisala,16.00,EUR
2025-01-14,Conad centro commerciale,23.10,EUR
2025-01-15,Bar pasticceria Centrale,4.20,EUR
2025-01-15,Sconto fedelta,3.00
2025-01-16,Uber corsa notturna,18.40,EUR
2025-01-16,,12.50,EUR
2025-01-17,Acqua e fognatura,41.75,EUR
2025-01-18,Spotify premium,10.99,EUR
2025-01-19,Iliad telefonica rinnovo,9.99,EUR
2025-02-30,Pane e dolci,8.00,EUR
2025-01-21,Amazon.it ordine 12345,67.89,EUR
2025-01-22,Palestra,15.00,EUR
2025-01-23,Cashback carta,0.00,EUR
2025-01-24,"Bonifico per rimborso spese viaggio di trasferta aziendale del dipendente, autorizzazione del responsabile di reparto prot. 2025/014, allegata nota spese con ricevute taxi e pranzo di lavoro del 14 gennaio 2025",120.00,EUR
2025-01-25,Parcheggio centro storico,3.50,EUR
2025-01-26,Ticket restaurant,8.00,eur
2025-01-27,Fotocopie e cancelleria,12.00,EUR
